Activity database;Activity code;Activity name;Activity unit;Activity type;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange loc;Exchange scale;Exchange negative;Notes
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;66f50b33-fd62-4fdd-a373-c5b0de7de00d;4.31656E-06;kilogram;biosphere;2;-12.35305;0.27097;FALSE;Black carbon, (PM2.5)
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;57bdb443-d4a6-423d-8024-959b8261d02e;3.34871E-06;kilogram;biosphere;2;-12.60693;0.37929;FALSE;'Methane, non-fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;b821ad93-ba6a-4d74-b6ae-ca12cd9563d7;0.000748455;kilogram;biosphere;2;-7.19750;0.89588;FALSE;'Carbon monoxide, non-fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;d6235194-e4e6-4548-bfa3-ac095131aef4;0.13939314;kilogram;biosphere;2;-1.97046;0.25790;FALSE;'Carbon dioxide, non-fossil' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;afd6d670-bbb0-4625-9730-04088a5b035e;1.55202E-06;kilogram;biosphere;2;-13.37595;0.60266;FALSE;'Dinitrogen monoxide' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;0f440cc0-0f74-446d-99d6-8ff0e97a2444;2.77778E-06;kilogram;biosphere;2;-12.79386;0.02956;FALSE;'Ammonia' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;33b38ccb-593b-4b11-b965-10d747ba3556;0.001074373;kilogram;biosphere;2;-6.83602;3.62101;FALSE;'NMVOC, non-methane volatile organic compounds' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;77357947-ccc5-438e-9996-95e65e1e1bce;0.00078967;kilogram;biosphere;2;-7.14390;0.62115;FALSE;'Nitrogen oxides' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;66f50b33-fd62-4fdd-a373-c5b0de7de00d;1.53985E-05;kilogram;biosphere;2;-11.08124;0.43859;FALSE;Organic carbon (PM2.5)
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;7678cec7-b8e1-439d-8242-99cd452834b1;3.06944E-05;kilogram;biosphere;2;-10.39143;0.51581;FALSE;'Particulate Matter, > 10 um' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;66f50b33-fd62-4fdd-a373-c5b0de7de00d;1.82553E-05;kilogram;biosphere;2;-10.91105;1.02313;FALSE;'Particulate Matter, < 2.5 um' (kilogram, None, ('air', 'non-urban air or from high stacks'))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd;3.78005E-06;kilogram;biosphere;2;-12.48577;2.18917;FALSE;'Sulfur oxides' (kilogram, None, ('air',))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;biosphere3;4ec70203-13b0-58cc-b4dd-2fcce8a96732;0.000138889;kilogram;biosphere;2;-8.88184;0.43859;FALSE;'VOC, volatile organic compounds' (kilogram, None, ('air',))
Fuels_db_TtW_MJ;MeOH_combustion;MeOH_combustion;megajoule;process;ecoinvent 3.9 conseq;96f7e7a4a7a5e534fb48f66845514a47;4.70969E-11;unit;technosphere;2;-23.77881;0.00198;FALSE;'market for container ship' (unit, GLO, None)
