Activity database;Activity code;Activity name;Activity unit;Activity type;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange loc;Exchange scale;Exchange negative;Notes
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;7595a351d6f62c42a4b2b6a95db812be;8.95E+00;kilogram;technosphere;2;2.19;0.005;FALSE;'tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage' (kilogram, GLO, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;01ee13b800e386bb68597dc5532399fb;4.87E+01;kilowatt hour;technosphere;2;3.89;0.005;FALSE;'electricity production, wind, >3MW turbine, onshore' (kilowatt hour, RoW, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;biosphere3;9ec076d9-6d9f-4a0b-9851-730626ed4319;8.00E+00;kilogram;biosphere;2;2.08;0.005;FALSE;Oxygen to air
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;27523b72726ed90f447059f2c562f2f7;3.00E-05;kilogram;technosphere;2;-10.41;0.005;FALSE;'activated carbon production, granular from hard coal' (kilogram, RER, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;8c89150c1aad79311135bd1d8e73e5f5;9.00E-06;kilogram;technosphere;2;-11.62;0.005;FALSE;'aluminium production, primary, ingot' (kilogram, IAI Area, EU27 & EFTA, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;12dfbbddbe9f116efae3e1f0b51b843c;4.50E-06;kilogram;technosphere;2;-12.31;0.005;FALSE;'copper production, cathode, solvent extraction and electrowinning process' (kilogram, GLO, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;9692baac90ac1e66554f019d3c5cd521;8.75E-08;kilogram;technosphere;2;-16.25;0.005;FALSE;'market for platinum' (kilogram, GLO, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;dbf4d44689fe4503a4fc1fc05b05df60;1.88E-06;kilogram;technosphere;2;-13.19;0.005;FALSE;'steel production, electric, chromium steel 18/8' (kilogram, RER, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;88fadc5804813821c5dc5666afaa9b49;1.96E-06;kilogram;technosphere;2;-13.14;0.005;FALSE;'tetrafluoroethylene production' (kilogram, RER, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;ecoinvent 3.9 conseq;ebca939ae43ceee33496d70c0f7e890f;5.00E-05;kilogram;technosphere;2;-9.90;0.005;FALSE;'titanium production' (kilogram, GLO, None)
Fuels_db_WtT_MJ;eH2;eH2;kilogram;process;Fuels_db_WtT_MJ;eH2;1.00E+00;kilogram;production;;;;;Production of 1 kg hydrogen
Fuels_db_WtT_MJ;DAC;DAC;unit;process;ecoinvent 3.9 conseq;866dbbe340b26afc14e13c2a31db22af;7.62E-04;kilogram;technosphere;2;-7.18;0.005;FALSE;'market for vinyl chloride' (kilogram, RoW, None)
Fuels_db_WtT_MJ;DAC;DAC;unit;process;ecoinvent 3.9 conseq;59bd993148ab113c8da6e4493c63e6d6;8.33E-07;kilogram;technosphere;2;-14.00;0.005;FALSE;'market for polypropylene, granulate' (kilogram, GLO, None)
Fuels_db_WtT_MJ;DAC;DAC;unit;process;ecoinvent 3.9 conseq;dbf4d44689fe4503a4fc1fc05b05df60;1.72E-06;kilogram;technosphere;2;-13.27;0.005;FALSE;'steel production, electric, chromium steel 18/8' (kilogram, RER, None)
Fuels_db_WtT_MJ;DAC;DAC;unit;process;ecoinvent 3.9 conseq;d6a6a3e5607329d76ad0223a42fc6236;2.69E-04;kilogram;technosphere;2;-8.22;0.005;FALSE;'steel production, converter, low-alloyed' (kilogram, RER, None)
